time P_1 P_2 P_{tot}
3.560010000000000119e+00 -8.110229952623353167e-02 8.110229952623353167e-02 0.000000000000000000e+00
3.570009999999999906e+00 -8.061714264446639966e-02 8.061714264446639966e-02 0.000000000000000000e+00
3.580010000000000137e+00 -8.013488798945909986e-02 8.013488798945909986e-02 0.000000000000000000e+00
3.590009999999999923e+00 -7.965551819427021951e-02 7.965551819427021951e-02 0.000000000000000000e+00
3.600010000000000154e+00 -7.917901600688768970e-02 7.917901600688768970e-02 0.000000000000000000e+00
3.610009999999999941e+00 -7.870536427254332112e-02 7.870536427254332112e-02 0.000000000000000000e+00
3.620010000000000172e+00 -7.823454593935190438e-02 7.823454593960209313e-02 0.000000000000000000e+00
3.630009999999999959e+00 -7.776654405897877320e-02 7.776654405897877320e-02 0.000000000000000000e+00
3.640010000000000190e+00 -7.730134178330871908e-02 7.730134178330871908e-02 0.000000000000000000e+00
3.650009999999999977e+00 -7.683892236414265053e-02 7.683892236439059109e-02 0.000000000000000000e+00
3.660010000000000208e+00 -7.637926915746523493e-02 7.637926915746523493e-02 0.000000000000000000e+00
